Код дороги;Название дороги;Адрес
54;Азербайджанская;Россия
71;Алматинская;Россия
83;Байкало-Амурская;Россия
92;Восточно-Сибирская;Россия
96;Дальневосточная;Россия
94;Забайкальская;Россия
57;Закавказская;Россия
63;Куйбышевская;Россия
35;Львовская;Россия
17;Московская;Россия
40;Одесская;Россия
1;Октябрьская;Россия
8;Прибалтийская;Россия
76;Свердловская;Россия
28;Северная;Россия
21;Северо-Кавказская;Россия
62;Среднеазиатская;Россия
68;Целинная;Россия
56;Черноморское п/х;Россия
32;Юго-Западная;Россия
100;Госграница;Россия
0;-;-
