id станции-участка;Код станции;Название станции;id Участка;Название участка
1;281315;Слободчиково;1;Котлас узловой-Микунь
2;281404;Урдома;1;Котлас узловой-Микунь
3;281508;Тыва;1;Котлас узловой-Микунь
4;281512;Тыла-Иоль;1;Котлас узловой-Микунь
5;281705;Шнес;1;Котлас узловой-Микунь
6;281809;Пилес;1;Котлас узловой-Микунь
7;281902;Мадмас;1;Котлас узловой-Микунь
8;281917;Бп 1264 км;1;Котлас узловой-Микунь
9;281921;БП 1266 км;1;Котлас узловой-Микунь
10;282002;Межог;1;Котлас узловой-Микунь
11;282017;Бп Гам;1;Котлас узловой-Микунь
12;282106;Вездино;1;Котлас узловой-Микунь
13;282205;Шежам;1;Котлас узловой-Микунь
14;282407;Микунь;1;Котлас узловой-Микунь
15;282407;Микунь;2;Микунь-Сосногорск
16;284402;Чуб;2;Микунь-Сосногорск
17;284417;Бп Сордью;2;Микунь-Сосногорск
18;284421;Муська;2;Микунь-Сосногорск
19;284436;Бп 1363 км;2;Микунь-Сосногорск
20;284506;Княжпогост;2;Микунь-Сосногорск
21;284606;Ракпас;2;Микунь-Сосногорск
22;284703;Тракт;2;Микунь-Сосногорск
23;284807;Весляна;2;Микунь-Сосногорск
24;284811;Оп Таежный;2;Микунь-Сосногорск
25;284900;Синдор;2;Микунь-Сосногорск
26;284915;Обп Белки;2;Микунь-Сосногорск
27;285000;Иоссер;2;Микунь-Сосногорск
28;285104;Крепежная;2;Микунь-Сосногорск
29;285119;Оп Ропча;2;Микунь-Сосногорск
30;285123;Тиманский;2;Микунь-Сосногорск
31;285208;Чиньяворык;2;Микунь-Сосногорск
32;285301;Юкарка;2;Микунь-Сосногорск
33;285405;Тобысь;2;Микунь-Сосногорск
34;285416;Бп Карсты;2;Микунь-Сосногорск
35;285424;Обп Луньвож;2;Микунь-Сосногорск
36;285509;Ярега;2;Микунь-Сосногорск
37;285513;Обп Доманник;2;Микунь-Сосногорск
38;285602;Ухта;2;Микунь-Сосногорск
39;285706;Ветлосян;2;Микунь-Сосногорск
40;285801;Сосногорск;2;Микунь-Сосногорск
41;285801;Сосногорск;3;Сосногорск-Воркута
42;286605;Пожня;3;Сосногорск-Воркута
43;286611;Обп Катыдведь;3;Сосногорск-Воркута
44;286709;Керки;3;Сосногорск-Воркута
45;286713;Бп Виер;3;Сосногорск-Воркута
46;286802;Вис;3;Сосногорск-Воркута
47;286817;Оп Айюва;3;Сосногорск-Воркута
48;286906;Седьвож;3;Сосногорск-Воркута
49;287006;Малая Пера;3;Сосногорск-Воркута
50;287010;Лемью;3;Сосногорск-Воркута
51;287025;Обп Войвож;3;Сосногорск-Воркута
52;287102;Ираель;3;Сосногорск-Воркута
53;287203;Зеленоборск;3;Сосногорск-Воркута
54;545107;Худат;4;Баладжары – Гудермес
55;551524;Худаферин (рзд);5;Джульфа – Османлы-Новые
56;921503;Худоеланская;6;Иркутск-Пасс – Тайшет
57;787706;Худяково;7;Егоршино
58;936706;Хужир;8;Заудинский – Наушки
59;551219;Хурама (рзд);5;Джульфа – Османлы-Новые
60;965605;Хурба;9;Волочаевка II – Комсомольск-Сорт.
61;919607;Хурмули;10;Комсомольск-Сортировочный – Известковая
62;385302;Хуст;11;Королево – Тересва
63;632810;Хутор;12;Вернадовка – Пенза I
64;328704;Хутор-Михайловский;0;ТП
65;516906;Хуторская;13;Сосыка-Рост. – Староминская-Ейская
66;967102;Хуту (рзд);14;Винино – Комсомольск-Сорт.
67;519110;Хутуны (рзд);15;Волгоград II – Куберле
68;941102;Хушенга;16;Заудинский – Карымская
69;546704;Хырдалан;4;Баладжары – Гудермес
70;374901;Хыров;0;ТП
71;25116;Хямекоски;17;Лодейное Поле –  Янисъярви
72;234403;Фруктовая;18;Воскресенск – Рыбное 
73;706003;Фрунзе;0;ТП
74;101409;Фрунзенское;19;Черняховск
75;230807;Фрязево;20;Кусково – Орехово-Зуево
76;235302;Фрязино;21;Лосиноостровская – Пост 81 км
77;423108;Фундуклеевка;22;Им. Тараса Шевченко – Чернолесская
78;736009;Фуркат;23;Коканд – Андижан
79;316001;Фурманов;24;Ермолино – Нерехта
80;681304;Фурмановский;25;Тобол – Целиноград
