№ ТП;Название ТП;Название дороги
1;Абаклия;-
2;Авдеевка;-
3;Агрыз;-
4;Азов;-
5;Акбаш;-
6;Аккаржа;-
7;Аксарайская;-
8;Акстафа;-
9;Актогай;-
10;Алапаевск;-
11;Александров;-
12;Али-Байрамлы;-
13;Алма-Ата I;-
14;Алтайская;-
15;Алят;-
16;Андижан I;-
17;Андреевичи;-
18;Андрусово;-
19;Анжерская;-
20;Апостолово;-
21;Аппаратная;-
22;Арбузово;-
23;Арзамас II;-
24;Армавир-Ростовский;-
25;Артышта I;-
26;Артышта II;-
27;Архангельск-Город;-
28;Арцыз;-
29;Арысь I;-
30;Астара;-
31;Аткарск;-
4444;Ахурян;Азербайджанская
32;Ачинск I;-
33;Ашхабад;-
34;Баглей;-
35;Багратноновск;-
36;Баку-Товарная;-
37;Баладжары;-
38;Балашов I;-
39;Бамовская;-
40;Барановичи-Полесские;-
48;Батуми;Черноморское п/х
1111;Беюк-Кясик;Азербайджанская
7777;Боржоми;Закавказская
91;Вердановка;-
3333;Веселое;Северо-Кавказская
85;Винино;-
105;Волгоград II;-
109;Вологда I;-
110;Волочаевка I;-
111;Волочаевка II;-
112;Волховстрой I;-
113;Волховстрой II;-
114;Вольнянск;-
14141414;Воркута;Северная
115;Ворожба;-
116;Ворошиловград;-
117;Воскобойня;-
118;Воскресенск;-
119;Встречный;-
120;Выборг;-
146;Гудермес;-
8888;Гурджаани;Закавказская
161;Джульфа;-
175;Егоршино;-
181;Ермолино;-
200;Заудинский;-
210;Известковая;-
218;Им. Тараса Шевченко;-
222;Иркутск-Пасс;-
248;Карымская;-
263;Коканд I;-
268;Комсомольск-Сорт.;-
277;Королево;-
280;Котлас-Узловой;Северная
301;Куберле;-
311;Кусково;-
322;Ленинакан;Закавказская
339;Лосиноостровская;-
336;Людейное Поле;-
9999;Масис;Закавказская
368;Микунь;Северная
403;Наушки;-
410;Нерехта;-
2222;Норашен;Азербайджанская
444;Орехово-Зуево;-
448;Османлы-Новые;-
463;Пенза I;-
488;Пост 81 км;-
489;Поти;Черноморское п/х
524;Рыбное;-
11111111;Самтредиа;Закавказская
561;Сосногорск;Северная
562;Сосыка-Рост.;-
565;Староминская-Ейская;-
580;Тайшет;-
587;Тбилиси-Узловая;Закавказская
586;Тересва;-
595;Тобол;-
13131313;Хашури;Закавказская
641;Целиноград;-
642;Цхакая;Закавказская
652;Чернолесская;-
655;Черняховск;-
673;Янисъярви;-
